country,wp_id,title,content_score,composite,yoast,expert,mechanical_fixes
AE,14155,"Hidd Al Saadiyat Padel",88,83,100,75,S4
AE,14770,"Yas Beach Padel",88,73,100,75,S4
AE,12481,"Belremaitha Padel",85,51,100,70,S4
AE,14004,"Al ZEINA padel court",85,78,100,70,S4
AE,14128,"Fantasy Padel",85,81,100,70,S4
AE,14613,"Sky mark GT Padel",85,81,100,70,S4
GB,17945,"Let's Go Padel Omagh",85,71,100,70,S4
AU,16771,"Padelwest",85,51,100,70,S4
AE,13529,"Vamos Padel",84,70,92,75,S4
AE,12130,"Ballers By Gaby Reca",83,50,100,65,S4
AE,12187,"Club Padel Dubai",83,70,100,65,S4
AE,12245,"Elevon Sports Complex",83,82,100,65,S4
AE,12569,"E611 Sports",83,70,100,65,S4
AE,12680,"Ism Padel Al Habtoor",83,70,100,65,S4
AE,12722,"Just Padel - Kite Beach",83,50,100,65,S4
AE,12748,"Just Padel - Kent College",83,50,100,65,S4
AE,12783,"Just Padel - Ripe Market",83,70,100,65,S4
AE,13828,"Active Al Maryah",83,70,100,65,S4
AE,14057,"ESS Padel Indoor",83,70,100,65,S4
AE,14054,"Eastern Mangroves",83,70,100,65,S4
AE,14153,"Home of Padel - Saadiyat Rotana Resort & Villas",83,50,100,65,S4
AE,14127,"Forza Padel",83,50,100,65,S4
AE,14207,"Just Padel - Marina Mall",83,70,100,65,S4
AE,14292,"Metropolitan Al Mafraq Hotel Padel Courts",83,70,100,65,S4
AE,14396,"Padel Port",83,83,100,65,S4
AE,14354,"Padel Kingdom Abu Dhabi",83,70,100,65,S4
AE,14567,"Padelmania Abu Dhabi",83,76,100,65,S4
AE,14447,"Padelista - Al Rawdhat",83,70,100,65,S4
AE,14615,"Pro Padel Academy",83,70,100,65,S4
AE,14589,"Prime HUB",83,70,100,65,S4
AE,14617,"RDK Compound",83,76,100,65,S4
AE,14672,"The Padel Project",83,70,100,65,S4
AE,14883,"Padel Spot",83,80,100,65,S4
AE,14852,"The Padel Corner Ajman",83,70,100,65,S4
AE,15619,"Padel Zone Al Ain",83,70,100,65,S4
AE,15734,"Padel Edition",83,70,100,65,S4
AE,16193,"Together Sport Services",83,70,100,65,S4
AE,14707,"UAEJJ Fitness MBZ",83,50,100,65,S4
AE,12010,"Ahdaaf Sports Club",83,50,100,65,S4
GB,17681,"This is Padel Dronfield",83,76,100,65,S4
GB,17850,"Eixo Padel",83,50,100,65,S4
AU,11667,"Game4Padel Docklands",83,50,100,65,S4
GB,17006,"Everybody Padel - The Barony",83,50,100,65,S4
AU,11522,"Indoor Padel Northern Beaches",83,50,100,65,S4
AE,14649,"Smash Padel",81,81,92,70,S4
AE,14674,"Home of Padel Saadiyat Rotana",81,75,92,70,S4
AE,14953,"Padel Art",81,69,92,70,S4
US,19661,"Taktika Padel San Diego",81,75,92,70,S4
GB,17997,"Powerhouse Padel Coleraine",81,69,92,70,S4
AE,12012,"Ahdaaf Dragon Mart 2",80,68,100,60,S4
AE,12186,"Champs Sports Club",80,48,100,60,S4
AE,12244,"Fluxion Padel Park Arena Hub",80,80,100,60,S4
AE,12243,"FM Padel Academy (Playce)",80,48,100,60,S4
AE,12242,"Fauget Padel Court",80,75,100,60,S4
AE,12501,"Business Bay Padel Courts",80,81,100,60,S4
AE,12538,"CF Padel Academy - Aviation Club",80,48,100,60,S4
AE,12518,"Champs Sports and Fitness Club Festival Plaza",80,48,100,60,S4
AE,12637,"Head Arena - Al Quoz",80,68,100,60,S4
AE,12683,"Ism Padel The Manor By Ja",80,48,100,60,S4
AE,12777,"Just Padel - Mina Rashid",80,48,100,60,S4
AE,12787,"La Cantine Sports Club",80,48,100,60,S4
AE,12842,"Match Point Padel",80,68,100,60,S4
AE,12892,"Oxygen Padel Club",80,48,100,60,S4
AE,13435,"Padel Tennis",80,75,100,60,S4
AE,12894,"Padel @ Precision Football",80,48,100,60,S4
AE,13522,"321 SPORTS",80,68,100,60,S4
AE,13825,"Abu Dhabi Padel Hub",80,68,100,60,S4
AE,13771,"Abu Dhabi Country Club",80,48,100,60,S4
AE,13780,"A PADEL - Yas Plaza",80,68,100,60,S4
AE,13523,"A PADEL - Park Hyatt Saadiyat",80,48,100,60,S4
AE,13912,"Al Forsan Padel Tennis",80,48,100,60,S4
AE,14041,"Beach Rotana Hotel",80,48,100,60,S4
