country,wp_id,title,score,errors,warnings
US,19422,"Ultra Padel Miami Magic City",93,0,0
GB,18701,"UK Padel Stoke Poges",93,0,0
GB,17907,"Casa Del Padel Malton",93,0,0
GB,17345,"Slazenger Padel Swindon",93,0,0
GB,17322,"Padel Maidenhead",93,0,0
US,19978,"Park Padel West Sacramento",91,0,0
US,19735,"Ultra Padel Aventura",91,0,0
GB,19047,"Utopia Padel Ipswich",91,0,0
GB,17946,"WePlay Padel Kirkbymoorside",91,0,0
GB,17175,"Surge Padel Harrogate",91,0,0
GB,16823,"The Hive London",91,0,0
GB,17945,"Let's Go Padel Omagh",91,0,1
GB,17712,"VIP Padel Newton-le-Willows",91,0,1
US,20368,"Xcel Padel Westlake",90,0,0
US,20091,"Wynwood Arena",90,0,0
GB,18729,"Let's Go Padel Carryduff",90,0,0
GB,17546,"Padel Project UK - Lowther Gardens",90,0,0
GB,17177,"Galgorm Castle",90,0,0
GB,16996,"Padel at Battersea Park",90,0,0
US,20209,"SB Padel Houston",90,0,1
GB,18727,"Smash Padel Whitstable",90,0,1
GB,18294,"Peak Padel Holmfirth",90,0,1
AE,14562,"Padelista Sheikha Fatima Park",90,0,1
US,19555,"Real Padel Miami",90,0,2
GB,17681,"This is Padel Dronfield",90,0,2
US,19661,"Taktika Padel San Diego",89,0,2
US,20783,"PADELHUB Boston",88,0,0
US,20758,"Padel United Sports Club",88,0,0
US,20420,"Slice Padel Co",88,0,0
US,20232,"SLC Padel Club",88,0,0
US,20185,"Laredo Padel Club",88,0,0
US,20034,"Racket Social Club Willowbrook",88,0,0
US,19995,"AREA Centre",88,0,0
US,19659,"Point Padel Club",88,0,0
US,19595,"PADEL MKE",88,0,0
GB,18774,"Barnton Cricket Club",88,0,0
GB,18648,"Withdean Sports Complex",88,0,0
GB,17769,"Padel Project UK Darlington",88,0,0
GB,17131,"PADELHUB Slough",88,0,0
GB,17046,"The Northern",88,0,0
GB,16997,"Akebar Park",88,0,0
GB,16952,"S3 Bristol Filton Park",88,0,0
GB,16893,"Padel at the Coed",88,0,0
GB,16830,"Powerleague Mill Hill",88,0,0
AE,16057,"CF Padel Academy",88,0,0
AE,14200,"ISM Padel Sama International school",88,0,0
GB,17238,"Castle Padel Club",88,0,1
GB,18960,"Park Sports Regent's Park",88,0,2
GB,18496,"Mickleover Padel Club",88,0,2
GB,18405,"Let's Go Padel Lurgan",88,0,2
AE,14401,"Padel Plus Academy",88,0,2
US,20920,"PATL Louisville Waterfront Park",87,0,0
US,20369,"Padel Club Palm Beach",87,0,0
US,20296,"Padel + Pickle Club",87,0,0
US,20151,"Serve El Paso",87,0,0
US,19830,"Austin Padel Center Pop-Up",87,0,0
US,19723,"CUBE PADEL CHICAGO",87,0,0
US,19551,"Padel Pals Club East Valley",87,0,0
GB,18366,"Wressle Grange Padel Club",87,0,0
GB,17501,"Destination Padel Northwich",87,0,0
GB,17400,"Louth Padel Co",87,0,0
GB,17176,"Bridge of Allan Sports Club",87,0,0
GB,17081,"Wigan Sports Club",87,0,0
GB,16970,"Cheshire Padel - Crewe Vagrants",87,0,0
GB,16929,"Powerleague Watford",87,0,0
GB,16886,"Padel at Hartford Golf",87,0,0
AU,16609,"The Padel Lounge",87,0,0
US,20631,"Padel N9NE",87,0,1
US,20602,"Conquer Padel Phoenix",87,0,1
US,20341,"VIVA Padel & Pickleball",87,0,1
US,19662,"Padel Garten by Glassbox",87,0,1
GB,18332,"Spa Padel",87,0,1
GB,17531,"Widnes Padel Club",87,0,1
US,19936,"BMorePadel",87,0,2
GB,18237,"The Ranch Padel",87,0,2
GB,17949,"Vida Del Padel - Guisborough",86,0,2
US,20591,"U-Padel Club",85,0,0
US,19681,"Glendale Lyceum",85,0,0
GB,17811,"ATC Padel Andover",85,0,1
US,20947,"Mouratoglou Tennis Center Noblesville",85,0,2
GB,17529,"Padel and Coffee",85,0,3
US,19726,"Paddles Up Pickleball & Padel",84,0,0
US,20810,"Sensa Padel",84,0,1
US,20257,"Emilio Sanchez Academy Florida",84,0,1
US,20103,"BAY PADEL Treasure Island",84,0,1
US,19420,"Caribe Royale Orlando Sport Court",84,0,1
GB,19008,"MPC Tennis and Fitness",84,0,1
GB,18189,"Tilsworth Padel Club",84,0,1
GB,17624,"Padel Elite Sheffield",84,0,1
GB,16887,"The Padel Club Gloucester Quays",84,0,1
GB,16843,"The Padel Club at The Mount Golf and Country Club",84,0,1
GB,18456,"The Padel Shed Selby",84,0,2
GB,17287,"CPASE Health Club",84,0,2
GB,17103,"Wakefield Sports & Padel Club",84,0,3
US,19966,"Padel California - Oceanside",83,0,0
GB,17661,"That Padel Club Newark",83,0,0
US,20881,"Padel Haus Denver",83,0,1
US,20719,"Reserve Padel",83,0,1
US,20681,"Platinum Padel Club",83,0,1
US,20565,"Wynwood Padel Club",83,0,1
US,19887,"Padel Square USA",83,0,1
GB,19085,"Powerleague Padel Sighthill",83,0,1
GB,19046,"Barnt Green Sports Club",83,0,1
GB,18974,"Pace Padel",83,0,1
GB,18728,"Hazelwood Sports Club",83,0,1
